,package_name,github_owner,github_repo
0,cypari,3-manifolds,cypari
1,sphinx-a4doc,amatanhead,sphinx-a4doc
2,pep517,pypa,pep517
3,pyrsistent,tobgu,pyrsistent
4,stack-data,alexmojaki,stack_data
5,typing-extensions,python,typing
6,markupsafe,mitsuhiko,markupsafe
7,wcwidth,jquast,wcwidth
8,asttokens,gristlabs,asttokens
9,jsonschema,julian,jsonschema
10,ptyprocess,pexpect,ptyprocess
11,pymdown-extensions,facelessuser,pymdown-extensions
12,attrs,sponsors,hynek
13,debugpy,microsoft,debugpy
14,argon2-cffi,sponsors,hynek
15,types-requests,typeshed-internal,stub_uploader
16,bleach,jsocol,bleach
17,defusedxml,tiran,defusedxml
18,click,mitsuhiko,click
19,pandocfilters,jgm,pandocfilters
20,pytest-asyncio,pytest-dev,pytest-asyncio
21,sphinx-copybutton,executablebookproject,sphinx-copybutton
22,build,ffy00,python-build
23,backcall,takluyver,backcall
24,ghp-import,c-w,ghp-import
25,sphinx-copybutton,choldgraf,sphinx-copybutton
26,mkdocs,mkdocs,mkdocs
27,shibuya,lepture,shibuya
28,mypy,python,mypy
29,parso,davidhalter,parso
30,pyparsing,pyparsing,pyparsing
31,pytest-asyncio,tinche,pytest-asyncio
32,eth-hash,ethereum,eth-hash
33,mkdocs-material,squidfunk,mkdocs-material
34,send2trash,arsenetar,send2trash
35,appnope,minrk,appnope
36,hexbytes,ethereum,hexbytes
37,hypothesis,hypothesisworks,hypothesis-python
38,executing,alexmojaki,executing
39,tomli,hukkin,tomli
40,aiohttp,keepsafe,aiohttp
41,jsonschema,sponsors,julian
42,traitlets,ipython,traitlets
43,sphinx-rtd-theme,rtfd,sphinx_rtd_theme
44,aiohttp,aio-libs,aiohttp
45,shibuya,sponsors,lepture
46,matplotlib,matplotlib,matplotlib
47,eth-abi,ethereum,eth-abi
48,jupyter-autotime,takelushi,jupyter-autotime
49,eth-utils,ethereum,eth-utils
50,jupyterlab-widgets,ipython,ipywidgets
51,pytest-cov,schlamar,pytest-cov
52,ipykernel,ipython,ipykernel
53,tornado,tornadoweb,tornado
54,pygments,pygments,pygments
55,websockets,python-websockets,websockets
56,cffi,python-cffi,cffi
57,importlib-metadata,python,importlib_metadata
58,argon2-cffi-bindings,sponsors,hynek
59,pandas,pandas-dev,pandas
60,python-snappy,andrix,python-snappy
61,sphinx-rtd-theme,snide,sphinx_rtd_theme
62,pywin32,mhammond,pywin32
63,pure-eval,alexmojaki,pure_eval
64,spherogram,3-manifolds,spherogram
65,wheel,pypa,wheel
66,sphinx-a4doc,taminomara,sphinx-a4doc
67,plink,3-manifolds,plink
68,testpath,takluyver,testpath
69,qtpy,goanpeca,qtpy
70,kiwisolver,nucleic,kiwi
71,jsonschema,python-jsonschema,jsonschema
72,prompt-toolkit,prompt-toolkit,python-prompt-toolkit
73,prometheus-client,prometheus,client_python
74,types-requests,python,typeshed
75,mypy-extensions,python,mypy_extensions
76,pytest-logging,saltstack,pytest-logging
77,pydantic,samuelcolvin,pydantic
78,pytest-asyncio,tinche,pytest_asyncio
79,jupyter-core,jupyter,jupyter_core
80,pycryptodome,legrandin,pycryptodome
81,pyyaml,yaml,pyyaml
82,terminado,takluyver,terminado
83,bumpversion,peritus,bumpversion
84,decorator,micheles,decorator
85,zipp,jaraco,zipp
86,terminado,jupyter,terminado
87,pytest-xdist,pytest-dev,pytest-xdist
88,hypothesis,hypothesisworks,hypothesis
89,pillow,,
90,eth-typing,ethereum,eth-typing
91,pathspec,cpburnz,python-pathspec
92,tomli,hukkinj1,tomli
93,pyzmq,zeromq,pyzmq
94,pillow,python-imaging,pillow
95,networkx,networkx,networkx
96,cbor2,agronholm,cbor2
97,sphinx-rtd-theme,readthedocs,sphinx_rtd_theme
98,jupyterlab-widgets,jupyter-widgets,ipywidgets
99,certora-cli,certora,certoracli
100,requests,kennethreitz,requests
101,pillow,python-pillow,pillow
102,numpy,numpy,numpy
103,pytest,pytest-dev,pytest
104,cycler,matplotlib,cycler
