,name,repository
0,enr,https://github.com/sigp/enr
1,sptr,https://github.com/gankra/sptr
2,kzg,https://github.com/sladuca/kzg
3,boa_engine,https://github.com/boa-dev/boa
4,boa_interner,https://github.com/boa-dev/boa
5,boa_macros,https://github.com/boa-dev/boa
6,boa_profiler,https://github.com/boa-dev/boa
7,boa_gc,https://github.com/boa-dev/boa
8,boa_ast,https://github.com/boa-dev/boa
9,boa_parser,https://github.com/boa-dev/boa
10,boa_string,https://github.com/boa-dev/boa
11,ryu,https://github.com/dtolnay/ryu
12,syn,https://github.com/dtolnay/syn
13,h2,https://github.com/hyperium/h2
14,discv5,https://github.com/sigp/discv5
15,dirs,https://github.com/soc/dirs-rs
16,dirs-next,https://github.com/xdg-rs/dirs
17,ntapi,https://github.com/msxdos/ntapi
18,core2,https://github.com/bbqsrc/core2
19,maplit,https://github.com/bluss/maplit
20,clap_lex,https://github.com/clap-rs/clap
21,clap_builder,https://github.com/clap-rs/clap
22,clap,https://github.com/clap-rs/clap
23,clap_derive,https://github.com/clap-rs/clap
24,dtoa,https://github.com/dtolnay/dtoa
25,itoa,https://github.com/dtolnay/itoa
26,cesu8,https://github.com/emk/cesu8-rs
27,eyre,https://github.com/eyre-rs/eyre
28,cached_proc_macro_types,https://github.com/jaemk/cached
29,cached,https://github.com/jaemk/cached
30,cached_proc_macro,https://github.com/jaemk/cached
31,nix,https://github.com/nix-rust/nix
32,rcgen,https://github.com/rustls/rcgen
33,pq-sys,https://github.com/sgrif/pq-sys
34,time-macros,https://github.com/time-rs/time
35,time-core,https://github.com/time-rs/time
36,toml_edit,https://github.com/toml-rs/toml
37,enumset,https://github.com/lymia/enumset
38,enumset_derive,https://github.com/lymia/enumset
39,backon,https://github.com/xuanwo/backon
40,utf8parse,https://github.com/alacritty/vte
41,tynm,https://github.com/azriel91/tynm
42,bitmaps,https://github.com/bodil/bitmaps
43,enumn,https://github.com/dtolnay/enumn
44,paste,https://github.com/dtolnay/paste
45,quote,https://github.com/dtolnay/quote
46,http,https://github.com/hyperium/http
47,mime,https://github.com/hyperium/mime
48,jni,https://github.com/jni-rs/jni-rs
49,foldhash,https://github.com/orlp/foldhash
50,log,https://github.com/rust-lang/log
51,highs,https://github.com/rust-or/highs
52,rustls-webpki,https://github.com/rustls/webpki
53,gloo-net,https://github.com/rustwasm/gloo
54,serde_json,https://github.com/serde-rs/json
55,r2d2,https://github.com/sfackler/r2d2
56,milhouse,https://github.com/sigp/milhouse
57,piper,https://github.com/smol-rs/piper
58,pprof,https://github.com/tikv/pprof-rs
59,slab,https://github.com/tokio-rs/slab
60,combine,https://github.com/marwes/combine
61,rlimit,https://github.com/nugine/rlimit/
62,rsa,https://github.com/rustcrypto/rsa
63,revm,https://github.com/bluealloy/revm
64,revm-interpreter,https://github.com/bluealloy/revm
65,revm-primitives,https://github.com/bluealloy/revm
66,revm-precompile,https://github.com/bluealloy/revm
67,arrayvec,https://github.com/bluss/arrayvec
68,ryu-js,https://github.com/boa-dev/ryu-js
69,anyhow,https://github.com/dtolnay/anyhow
70,semver,https://github.com/dtolnay/semver
71,gimli,https://github.com/gimli-rs/gimli
72,zstd-safe,https://github.com/gyscos/zstd-rs
73,zstd,https://github.com/gyscos/zstd-rs
74,zstd-sys,https://github.com/gyscos/zstd-rs
75,serde-aux,https://github.com/iddm/serde-aux
76,jni-sys,https://github.com/jni-rs/jni-sys
77,hashlink,https://github.com/kyren/hashlink
78,vcpkg,https://github.com/mcgoo/vcpkg-rs
79,typenum,https://github.com/paholg/typenum
80,quinn-proto,https://github.com/quinn-rs/quinn
81,quinn,https://github.com/quinn-rs/quinn
82,quinn-udp,https://github.com/quinn-rs/quinn
83,rayon-core,https://github.com/rayon-rs/rayon
84,rayon,https://github.com/rayon-rs/rayon
85,libm,https://github.com/rust-lang/libm
86,fnv,https://github.com/servo/rust-fnv
87,url,https://github.com/servo/rust-url
88,form_urlencoded,https://github.com/servo/rust-url
89,ssz_types,https://github.com/sigp/ssz_types
90,tree_hash_derive,https://github.com/sigp/tree_hash
91,tree_hash,https://github.com/sigp/tree_hash
92,bytes,https://github.com/tokio-rs/bytes
93,prost,https://github.com/tokio-rs/prost
94,duplicate,https://github.com/emoun/duplicate
95,mach2,https://github.com/johntitor/mach2
96,hmac,https://github.com/rustcrypto/macs
97,simple_asn1,https://github.com/acw/simple_asn1
98,mockall,https://github.com/asomers/mockall
99,mockall_derive,https://github.com/asomers/mockall
100,ring,https://github.com/briansmith/ring
101,fxhash,https://github.com/cbreeden/fxhash
102,autocfg,https://github.com/cuviper/autocfg
103,procfs,https://github.com/eminence/procfs
104,procfs-core,https://github.com/eminence/procfs
105,bumpalo,https://github.com/fitzgen/bumpalo
106,object,https://github.com/gimli-rs/object
107,zerocopy-derive,https://github.com/google/zerocopy
108,zerocopy,https://github.com/google/zerocopy
109,lazycell,https://github.com/indiv0/lazycell
110,cast,https://github.com/japaric/cast.rs
111,ipnet,https://github.com/krisprice/ipnet
112,lalrpop-util,https://github.com/lalrpop/lalrpop
113,lalrpop,https://github.com/lalrpop/lalrpop
114,adler2,https://github.com/oyvindln/adler2
115,hash-db,https://github.com/paritytech/trie
116,anes,https://github.com/qwandor/anes-rs
117,either,https://github.com/rayon-rs/either
118,nom,https://github.com/rust-bakery/nom
119,home,https://github.com/rust-lang/cargo
120,good_lp,https://github.com/rust-or/good_lp
121,idna,https://github.com/servo/rust-url/
122,percent-encoding,https://github.com/servo/rust-url/
123,metastruct_macro,https://github.com/sigp/metastruct
124,metastruct,https://github.com/sigp/metastruct
125,polling,https://github.com/smol-rs/polling
126,quick-xml,https://github.com/tafia/quick-xml
127,arc-swap,https://github.com/vorner/arc-swap
128,fastrlp,https://github.com/vorot93/fastrlp
129,zip,https://github.com/zip-rs/zip2.git
130,memoffset,https://github.com/gilnaa/memoffset
131,tinyvec,https://github.com/lokathor/tinyvec
132,aes-gcm,https://github.com/rustcrypto/aeads
133,hex-literal,https://github.com/rustcrypto/utils
134,inout,https://github.com/rustcrypto/utils
135,opaque-debug,https://github.com/rustcrypto/utils
136,block-buffer,https://github.com/rustcrypto/utils
137,cpufeatures,https://github.com/rustcrypto/utils
138,block-padding,https://github.com/rustcrypto/utils
139,variant_count,https://github.com/xx/variant_count
140,scopeguard,https://github.com/bluss/scopeguard
141,camino,https://github.com/camino-rs/camino
142,shlex,https://github.com/comex/rust-shlex
143,arrayref,https://github.com/droundy/arrayref
144,deranged,https://github.com/jhpratt/deranged
145,num-conv,https://github.com/jhpratt/num-conv
146,powerfmt,https://github.com/jhpratt/powerfmt
147,if-watch,https://github.com/mxinden/if-watch
148,pharos,https://github.com/najamelan/pharos
149,yamux,https://github.com/paritytech/yamux
150,httpdate,https://github.com/pyfisch/httpdate
151,refinery,https://github.com/rust-db/refinery
152,refinery-macros,https://github.com/rust-db/refinery
153,refinery-core,https://github.com/rust-db/refinery
154,want,https://github.com/seanmonstar/want
155,warp,https://github.com/seanmonstar/warp
156,superstruct,https://github.com/sigp/superstruct
157,async-io,https://github.com/smol-rs/async-io
