,repo_owner,repo_name,package_artifact_name,package_artifact_source
0,ethereum,ethereum/remix-project,@remixproject/plugin-utils,NPM
1,ethereum,ethereum/remix-project,babel-plugin-replace-ts-export-assignment,NPM
2,ethereum,ethereum/remix-project,@types/mime,NPM
3,ethereum,ethereum/remix-project,@bcoe/v8-coverage,NPM
4,ethereum,ethereum/remix-project,ansi-styles,NPM
5,ethereum,ethereum/remix-project,sudo-prompt,NPM
6,ethereum,ethereum/remix-project,auto-bind,NPM
7,ethereum,ethereum/remix-project,nightwatch,NPM
8,ethereum,ethereum/remix-project,@babel/helper-validator-option,NPM
9,ethereum,ethereum/remix-project,@babel/types,NPM
10,ethereum,ethereum/remix-project,css,NPM
11,ethereum,ethereum/remix-project,@noble/hashes,NPM
12,ethereum,ethereum/remix-project,eslint,NPM
13,ethereum,ethereum/remix-project,crc-32,NPM
14,ethereum,ethereum/remix-project,webpack-cli,NPM
15,ethereum,ethereum/remix-project,blob-to-it,NPM
16,ethereum,ethereum/remix-project,micromark-extension-gfm-task-list-item,NPM
17,ethereum,ethereum/remix-project,web3-eth-abi,NPM
18,ethereum,ethereum/remix-project,assert-plus,NPM
19,ethereum,ethereum/remix-project,just-debounce-it,NPM
20,ethereum,ethereum/remix-project,logform,NPM
21,ethereum,ethereum/remix-project,onnxruntime-web,NPM
22,ethereum,ethereum/remix-project,use-isomorphic-layout-effect,NPM
23,ethereum,ethereum/remix-project,redux,NPM
24,ethereum,ethereum/remix-project,web3-rpc-methods,NPM
25,ethereum,ethereum/remix-project,@babel/plugin-transform-parameters,NPM
26,ethereum,ethereum/remix-project,function.prototype.name,NPM
27,ethereum,ethereum/remix-project,lodash.isplainobject,NPM
28,ethereum,ethereum/remix-project,unicode-match-property-value-ecmascript,NPM
29,ethereum,ethereum/remix-project,camelcase,NPM
30,ethereum,ethereum/remix-project,truncate-utf8-bytes,NPM
31,ethereum,ethereum/remix-project,@babel/plugin-syntax-async-generators,NPM
32,ethereum,ethereum/remix-project,ini,NPM
33,ethereum,ethereum/remix-project,sprintf-js,NPM
34,ethereum,ethereum/remix-project,iferr,NPM
35,ethereum,ethereum/remix-project,json5,NPM
36,ethereum,ethereum/remix-project,@scure/bip39,NPM
37,ethereum,ethereum/remix-project,babel-template,NPM
38,ethereum,ethereum/remix-project,leven,NPM
39,ethereum,ethereum/remix-project,nodent,NPM
40,ethereum,ethereum/remix-project,solc,NPM
41,ethereum,ethereum/remix-project,@nrwl/linter,NPM
42,ethereum,ethereum/remix-project,faye-websocket,NPM
43,ethereum,ethereum/remix-project,@octokit/auth-app,NPM
44,ethereum,ethereum/remix-project,@parcel/watcher-linux-arm64-glibc,NPM
45,ethereum,ethereum/remix-project,htmlparser2,NPM
46,ethereum,ethereum/remix-project,stdin-discarder,NPM
47,ethereum,ethereum/remix-project,radix3,NPM
48,ethereum,ethereum/remix-project,@ethersproject/pbkdf2,NPM
49,ethereum,ethereum/remix-project,ganache,NPM
50,ethereum,ethereum/remix-project,lodash.mapvalues,NPM
51,ethereum,ethereum/remix-project,servify,NPM
52,ethereum,ethereum/remix-project,web3-providers-http,NPM
53,ethereum,ethereum/remix-project,@electron/notarize,NPM
54,ethereum,ethereum/remix-project,map-age-cleaner,NPM
55,ethereum,ethereum/remix-project,slash,NPM
56,ethereum,ethereum/remix-project,@uniswap/v3-core,NPM
57,ethereum,ethereum/remix-project,libnpmversion,NPM
58,ethereum,ethereum/remix-project,promise-call-limit,NPM
59,ethereum,ethereum/remix-project,getpass,NPM
60,ethereum,ethereum/remix-project,promise,NPM
61,ethereum,ethereum/remix-project,micromark-util-decode-string,NPM
62,ethereum,ethereum/remix-project,@octokit/auth-oauth-device,NPM
63,ethereum,ethereum/remix-project,minipass-json-stream,NPM
64,ethereum,ethereum/remix-project,@walletconnect/relay-auth,NPM
65,ethereum,ethereum/remix-project,cjs-module-lexer,NPM
66,ethereum,ethereum/remix-project,compare-version,NPM
67,ethereum,ethereum/remix-project,extsprintf,NPM
68,ethereum,ethereum/remix-project,octokit,NPM
69,ethereum,ethereum/remix-project,postcss-merge-longhand,NPM
70,ethereum,ethereum/remix-project,onnxruntime-common,NPM
71,ethereum,ethereum/remix-project,lerna,NPM
72,ethereum,ethereum/remix-project,path-exists,NPM
73,ethereum,ethereum/remix-project,convert-svg-to-png,NPM
74,ethereum,ethereum/remix-project,@dnd-kit/utilities,NPM
75,ethereum,ethereum/remix-project,array-differ,NPM
76,ethereum,ethereum/remix-project,unload,NPM
