id,isValid,name,verificationStatus,claimedAt,forge,ownerAddress,ownerAccountId,url,emoji,avatarCid,color,description,createdAt,updatedAt,isVisible,lastProcessedIpfsHash
80899779228880627517454881746074270005366067020274532776319414960128,TRUE,0x61nas/aarty,PendingMetadata,2024-08-30 00:25:47+00,GitHub,0x7B54A13f8b38B61E517A7783951DfF0d3F1E4641,704093174108890117082189337791650315994358761025,https://github.com/0x61nas/aarty,NULL,NULL,NULL,NULL,2024-10-09 15:37:03.978+00,2024-10-09 15:37:05.767+00,TRUE,NULL
80900113793817016216053969091546086495370043491743218685389872037888,TRUE,1Hive/gardens-v2,Claimed,2024-02-14 18:26:59+00,GitHub,0x1B8C7f06F537711A7CAf6770051A43B4F3E69A7e,157275920767994218776394221371263403337626065534,https://github.com/1Hive/gardens-v2,🛋,NULL,#9BD226,NULL,2024-10-09 15:35:12.697+00,2024-10-09 15:35:25.666+00,TRUE,NULL
80906764909864340430740824322069507970122914002263914175666607816704,TRUE,AsiaFoundation/contact-us,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/AsiaFoundation/contact-us,NULL,NULL,NULL,NULL,2024-10-09 15:35:59.557+00,2024-10-09 15:35:59.557+00,TRUE,NULL
80907160254338805032849864808183693227669058486594365868751434183424,TRUE,Bioconductor/Contributions,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Bioconductor/Contributions,NULL,NULL,NULL,NULL,2024-10-09 15:35:31.002+00,2024-10-09 15:35:31.002+00,TRUE,NULL
80907165075544083743089536370733421088760062035756538012215787126784,TRUE,Blosc/python-blosc,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Blosc/python-blosc,NULL,NULL,NULL,NULL,2024-10-09 15:35:30.986+00,2024-10-09 15:35:30.986+00,TRUE,NULL
80907169813996275213167030307695263639290530322181632770720579911680,TRUE,BobTheBuidler/ypricemagic,PendingMetadata,2024-06-15 15:13:59+00,GitHub,0xAE2447CeA206501D13965CF6AC5aDA73A366fADD,994173476236331634335252282837768095370649729757,https://github.com/BobTheBuidler/ypricemagic,NULL,NULL,NULL,NULL,2024-10-09 15:36:16.379+00,2024-10-09 15:36:17.175+00,TRUE,NULL
80907179556696829389877033778173974493405122726591807111389014654976,TRUE,BurntSushi/toml,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/BurntSushi/toml,NULL,NULL,NULL,NULL,2024-10-09 15:35:54.661+00,2024-10-09 15:35:54.661+00,TRUE,NULL
80907185984472938178947231143934051564334108789056821384881454972928,TRUE,Byron/gitoxide,Claimed,2023-11-05 10:31:59+00,GitHub,0xD0d4dCFc194ec24bCc777e635289e0b10E1a7b87,1192217088801148204319697860282021728202362878855,https://github.com/Byron/gitoxide,💘,NULL,#FF5555,NULL,2024-10-09 15:32:07.116+00,2024-10-09 15:36:00.484+00,TRUE,NULL
80907558769112561996247539745307236278331805796197995487087040659456,TRUE,Cantera/cantera,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Cantera/cantera,NULL,NULL,NULL,NULL,2024-10-09 15:35:31.003+00,2024-10-09 15:35:31.003+00,TRUE,NULL
80907569935807673738754365975280081197283267683848567467176364081152,TRUE,ChainAgnostic/CAIPs,Claimed,2024-01-22 19:08:11+00,GitHub,0xEDA75C4e519FD27d7d28B7F20be407435fb74e2d,1356763078114232235191140359882091194815425760813,https://github.com/ChainAgnostic/CAIPs,🤿,NULL,#FFC555,NULL,2024-10-09 15:34:54.966+00,2024-10-09 15:35:21.228+00,TRUE,NULL
80907569935807673738754365975280081200700025812783517155703146938368,TRUE,ChainAgnostic/namespaces,PendingMetadata,2024-01-24 09:40:11+00,GitHub,0xEDA75C4e519FD27d7d28B7F20be407435fb74e2d,1356763078114232235191140359882091194815425760813,https://github.com/ChainAgnostic/namespaces,NULL,NULL,NULL,NULL,2024-10-09 15:34:55.744+00,2024-10-09 15:34:56.502+00,TRUE,NULL
80907570004756575632513886477433238174988687646669012076339279167488,TRUE,Chleba/netscanner,PendingMetadata,2024-05-12 01:12:47+00,GitHub,0x341d98043b03B63B30732ae981503659CcCbE760,297527484200631863302361761678929792749007529824,https://github.com/Chleba/netscanner,NULL,NULL,NULL,NULL,2024-10-09 15:36:00.169+00,2024-10-09 15:36:00.958+00,TRUE,NULL
80907581259793351408901134583531083851319446484764439270542752612352,TRUE,CommE2E/comm,Claimed,2024-01-03 13:57:35+00,GitHub,0xF8b57E5eD505bC6fAfFC765c1AC8569063664c38,1419877154462971483686007052497387272310635252792,https://github.com/CommE2E/comm,💬,NULL,#9B5DFF,NULL,2024-10-09 15:34:49.964+00,2024-10-09 15:34:51.725+00,TRUE,NULL
80907581266220660223609713731526090804550184633499560900816311156736,TRUE,Consensys/teku,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Consensys/teku,NULL,NULL,NULL,NULL,2024-10-09 15:35:57.042+00,2024-10-09 15:35:57.042+00,TRUE,NULL
80907918445957945028478552505305274569350260447794843495577163923456,TRUE,DABH/colors.js,Claimed,2023-07-22 13:27:47+00,GitHub,0xE31642c9926cBbd712AD611430369592C79401D8,1296437339373638358290697914420377484416458686936,https://github.com/DABH/colors.js,🍛,NULL,#53DB53,NULL,2024-10-09 15:31:58.093+00,2024-10-09 15:32:04.852+00,TRUE,NULL
80907918528472299983585422398812881158912368897636226916160240615424,TRUE,DAOmasons/website,PendingMetadata,2023-07-22 10:11:35+00,GitHub,0x67243d6c3c3bDc2F59D2f74ba1949a02973a529d,588834226902004529408892760231452410365712421533,https://github.com/DAOmasons/website,NULL,NULL,NULL,NULL,2024-10-09 15:31:58.072+00,2024-10-09 15:31:58.927+00,TRUE,NULL
80907941030898144928471333817552737860523640534247349200158397038592,TRUE,DOPEAMEAN1/EmPower,PendingMetadata,2024-01-03 00:51:11+00,GitHub,0xb54D4AD9c502911143685569eD8bb502BE49899d,1035051007311705626050474130059739852527553317277,https://github.com/DOPEAMEAN1/EmPower,NULL,NULL,NULL,NULL,2024-10-09 15:34:49.638+00,2024-10-09 15:34:50.323+00,TRUE,NULL
80907976622805000749072347491080295385978151355805217963364241637376,TRUE,Devconeta/CONSUMABLE,Claimed,2024-08-19 21:05:47+00,GitHub,0xE912BC1F48E05629e94e5e7b7f87DC45E97f9d7e,1330612650770905943638943170162807493116892781950,https://github.com/Devconeta/CONSUMABLE,🧭,NULL,#FF7020,NULL,2024-10-09 15:36:45.973+00,2024-10-09 15:37:09.825+00,TRUE,NULL
80907983032142996833802378215715169596687924655641398502596369711104,TRUE,DistributedDoge/test-test,PendingMetadata,2024-07-28 21:17:11+00,GitHub,0x3fce1aB1367eb60a679883E63bfDAF472DDF5b95,364262697294648602565816938282055038766187240341,https://github.com/DistributedDoge/test-test,NULL,NULL,NULL,NULL,2024-10-09 15:36:37.512+00,2024-10-09 15:36:38.184+00,TRUE,NULL
80907992598101135426470726143574350008105348465707721533680810721280,TRUE,Dogfalo/materialize,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Dogfalo/materialize,NULL,NULL,NULL,NULL,2024-10-09 15:36:57.255+00,2024-10-09 15:36:57.255+00,TRUE,NULL
80908747902992326209585473695064140912804128387016670986938896875520,TRUE,FEniCS/dolfinx,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/FEniCS/dolfinx,NULL,NULL,NULL,NULL,2024-10-09 15:35:30.998+00,2024-10-09 15:35:30.998+00,TRUE,NULL
80909217165659508735652780488721984746469292872633404015588910563328,TRUE,GitDataAI/jzfs,PendingMetadata,2024-12-03 03:21:11+00,GitHub,0x0393E1a1ee4BCDFa6230baD7E94E971F918C4eE2,20424837223201103493691198926800941443388821218,https://github.com/GitDataAI/jzfs,NULL,NULL,NULL,NULL,2024-12-03 03:21:04.559+00,2024-12-03 03:21:26.31+00,TRUE,NULL
80909615649413542311685501456337629257460346511864062990243550199808,TRUE,HandBrake/HandBrake,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/HandBrake/HandBrake,NULL,NULL,NULL,NULL,2024-11-26 11:43:15.437+00,2024-11-26 11:43:15.437+00,TRUE,NULL
80910415848191710589618340462627188131796430940977792843840130147698,TRUE,JSeiferth/awesome-farcaster,PendingMetadata,2024-02-23 15:20:35+00,GitHub,0x3977492b0d15488A57aD4c5bd2ECDe7e2572d7FE,328072636461989266606836812210355122985292191742,https://github.com/JSeiferth/awesome-farcaster,NULL,NULL,NULL,NULL,2024-10-09 15:35:21.242+00,2024-10-09 15:35:22.006+00,TRUE,NULL
80910415848191710589618340463297160458828122829065761762954356719616,TRUE,JSeiferth/community-hub,PendingMetadata,2024-02-23 00:58:47+00,GitHub,0x4a6894Dd556fab996f8D50b521f900CAEedC168e,424797562475896504685366467343359500228425946766,https://github.com/JSeiferth/community-hub,NULL,NULL,NULL,NULL,2024-10-09 15:35:21.242+00,2024-10-09 15:35:22.006+00,TRUE,NULL
80910438382887425296193888817794742215038226172435042014670048198656,TRUE,JakeWharton/timber,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/JakeWharton/timber,NULL,NULL,NULL,NULL,2024-10-09 15:36:41.63+00,2024-10-09 15:36:41.63+00,TRUE,NULL
80910460897476221603654014398485105604667605050664538597975868309504,TRUE,Jon-Becker/heimdall-rs,Claimed,2024-06-12 20:52:23+00,GitHub,0x6666666b0B46056247E7D6cbdb78287F4D12574d,584600656512645133050184034118809913262861342541,https://github.com/Jon-Becker/heimdall-rs,🛋,NULL,#9BD226,NULL,2024-10-09 15:36:14.073+00,2024-10-09 15:36:16.586+00,TRUE,NULL
80910470528024439259647670651206368017926224787131160552043519672320,TRUE,JuliaLang/julia,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/JuliaLang/julia,NULL,NULL,NULL,NULL,2024-10-09 15:35:31.001+00,2024-10-09 15:35:31.001+00,TRUE,NULL
80910862671467345560495775974166341234290203613033484412711270875136,TRUE,Kitware/CMake,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/Kitware/CMake,NULL,NULL,NULL,NULL,2024-10-09 15:36:42.562+00,2024-10-09 15:36:42.562+00,TRUE,NULL
80911188463908949219439426009020066893437717849895044038435421552640,TRUE,L422Y/megamap,PendingMetadata,2024-11-13 22:29:59+00,GitHub,0x753267f16B40C5f7232f3C8F608A09FCBebe2e6d,669076012162380872506798285166322227503010033261,https://github.com/L422Y/megamap,NULL,NULL,NULL,NULL,2024-11-13 22:29:54.882+00,2024-11-13 22:30:16.63+00,TRUE,NULL
80911222179177700931708817466242535668231314755077573619293259563008,TRUE,LI-YONG-QI/airdrop-bot,Claimed,2024-08-15 07:02:35+00,GitHub,0x808Cc43732a1fb67496A1532b362F275A5bcB335,733890015784121010653117454076901976531021902645,https://github.com/LI-YONG-QI/airdrop-bot,🥘,NULL,#BBA781,NULL,2024-10-09 15:36:42.622+00,2024-10-09 15:36:53.902+00,TRUE,NULL
80911293291926889608889901571044921977421415986215275086166414589952,TRUE,LunCoSim/lunco-sim,Claimed,2024-06-16 18:16:47+00,GitHub,0xA64f2228cceC96076c82abb903021C33859082F8,949457202528848573085164824303483327472007676664,https://github.com/LunCoSim/lunco-sim,🍛,NULL,#9B5DFF,NULL,2024-10-09 15:32:25.596+00,2024-10-09 15:36:24.028+00,TRUE,NULL
80911625646685498503023831355271484286242936968609115985254776045568,TRUE,MDAnalysis/mdanalysis,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/MDAnalysis/mdanalysis,NULL,NULL,NULL,NULL,2024-10-09 15:35:30.989+00,2024-10-09 15:35:30.989+00,TRUE,NULL
80911627271495482159269343917810013664335379972378202881578934206464,TRUE,MEDGA-eth/EDB,PendingMetadata,2024-06-15 12:38:59+00,GitHub,0xB916fD4c33F7741611DC1a8Af43a791e5B260a05,1056675974335654086643119967299650601095637895685,https://github.com/MEDGA-eth/EDB,NULL,NULL,NULL,NULL,2024-10-09 15:36:15.991+00,2024-10-09 15:36:16.771+00,TRUE,NULL
80911701474246103690095699762244888348789424389740715331061931273728,TRUE,MsquareHub/RetroPGF-Design,Claimed,2024-10-28 07:16:47+00,GitHub,0xAf987e6580966bFb2Ea301D5A5783F18157c485a,1002474108851817250371955103913138170314268362842,https://github.com/MsquareHub/RetroPGF-Design,🐮,NULL,#27C537,NULL,2024-10-28 07:16:41.07+00,2024-10-28 07:17:44.496+00,TRUE,NULL
80912037090766572429346647315624368711848802943584735307205035884544,TRUE,NDLABS-Leo/RPGF2---NDLabs,Claimed,2024-10-16 09:10:59+00,GitHub,0x11E2848fA41eF7910CD205aDf138AD9F50cb4290,102104359219148836250413783745967520552395162256,https://github.com/NDLABS-Leo/RPGF2---NDLabs,⚰️,NULL,#FFA24B,NULL,2024-10-16 09:10:55.501+00,2024-10-16 10:14:51.787+00,TRUE,NULL
80912038629073349194981970348540340498007809933777107405386940246643,TRUE,NEARBuilders/near-social-js,Unclaimed,NULL,GitHub,NULL,NULL,https://github.com/NEARBuilders/near-social-js,NULL,NULL,NULL,NULL,2024-10-10 06:39:05.809+00,2024-10-10 06:39:05.809+00,TRUE,NULL
80912096692731427285642748238291568975884076216206760523486136893440,TRUE,NiceNode/nice-node,Claimed,2024-01-30 11:41:47+00,GitHub,0x9cce47E9cF12C6147c9844adBB81fE85880c4df4,895202778292756595714856908336378175083271441908,https://github.com/NiceNode/nice-node,NULL,QmPLYMzcNWinproeogfN3Ta6ZJki2NXdscAho2AEVZEZvX,#53DB53,NULL,2024-10-09 15:35:03.595+00,2024-10-09 15:35:20.809+00,TRUE,NULL
80912106397230785984712093005424639021922321255581405351594506059776,TRUE,NomicFoundation/hardhat,Claimed,2024-06-14 15:03:35+00,GitHub,0xbF38a8Dac2AB41e72532c71fcF7Bd703432f3713,1091680788262823039125403393727020699443075692307,https://github.com/NomicFoundation/hardhat,🍒,NULL,#5555FF,NULL,2024-10-09 15:32:49.279+00,2024-10-09 15:36:24.028+00,TRUE,NULL
80912459671533547291461351735684413931435931699818921936878303182848,TRUE,OKEAMAH/Base-node,Claimed,2024-08-25 23:22:35+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/Base-node,👑,NULL,#5555FF,NULL,2024-10-09 15:36:52.159+00,2024-10-09 15:37:11.662+00,TRUE,NULL
80912459671533547291461639713201028482269991157303627461516773556224,TRUE,OKEAMAH/OKEAMAH,PendingMetadata,2024-08-27 14:52:59+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/OKEAMAH,NULL,NULL,NULL,NULL,2024-10-09 15:36:52.937+00,2024-10-09 15:36:53.726+00,TRUE,NULL
80912459671533547291461642689023528576754886969543294898406315524096,TRUE,OKEAMAH/OmniSwap,Claimed,2024-08-23 18:13:35+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/OmniSwap,🕶,NULL,#FFC120,NULL,2024-10-09 15:36:52.137+00,2024-10-09 15:37:11.662+00,TRUE,NULL
80912459671533547291462044187853365768732173002073327383617363509248,TRUE,OKEAMAH/animated-guide,PendingMetadata,2024-07-20 00:53:59+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/animated-guide,NULL,NULL,NULL,NULL,2024-10-09 15:36:32.413+00,2024-10-09 15:36:33.177+00,TRUE,NULL
80912459671533547291462088263942538729987853216481630149280054378496,TRUE,OKEAMAH/chainlist,PendingMetadata,2024-07-20 03:50:35+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/chainlist,NULL,NULL,NULL,NULL,2024-10-09 15:36:32.788+00,2024-10-09 15:36:33.59+00,TRUE,NULL
80912459671533547291462221637622923294426899669758983505100712968192,TRUE,OKEAMAH/icons,PendingMetadata,2024-07-20 05:20:59+00,GitHub,0x97293CeAB815896883e8200AEf5a4581a70504b2,862977243555459065251528450011329630890252108978,https://github.com/OKEAMAH/icons,NULL,NULL,NULL,NULL,2024-10-09 15:36:33.176+00,2024-10-09 15:36:33.988+00,TRUE,NULL
