,seed_repo_name,seed_repo_owner,package_name,package_repo_owner,package_repo_name,package_source
0,prysmaticlabs/prysm,prysmaticlabs,github.com/mattn/go-runewidth,mattn,mattn/go-runewidth,GO
1,prysmaticlabs/prysm,prysmaticlabs,golang.org/x/oauth2,,,GO
2,prysmaticlabs/prysm,prysmaticlabs,github.com/minio/highwayhash,minio,minio/highwayhash,GO
3,prysmaticlabs/prysm,prysmaticlabs,github.com/leodido/go-urn,leodido,leodido/go-urn,GO
4,prysmaticlabs/prysm,prysmaticlabs,github.com/juju/ansiterm,juju,juju/ansiterm,GO
5,prysmaticlabs/prysm,prysmaticlabs,github.com/go-sourcemap/sourcemap,go-sourcemap,go-sourcemap/sourcemap,GO
6,prysmaticlabs/prysm,prysmaticlabs,gopkg.in/natefinch/lumberjack.v2,,,GO
7,prysmaticlabs/prysm,prysmaticlabs,github.com/multiformats/go-multicodec,multiformats,multiformats/go-multicodec,GO
8,prysmaticlabs/prysm,prysmaticlabs,golang.org/x/exp,,,GO
9,prysmaticlabs/prysm,prysmaticlabs,github.com/tklauser/numcpus,tklauser,tklauser/numcpus,GO
10,ethereum/go-ethereum,ethereum,github.com/decred/dcrd/dcrec/secp256k1/v4,decred,decred/dcrd,GO
11,ethereum/go-ethereum,ethereum,github.com/gorilla/websocket,gorilla,gorilla/websocket,GO
12,ethereum/go-ethereum,ethereum,github.com/rogpeppe/go-internal,rogpeppe,rogpeppe/go-internal,GO
13,ethereum/go-ethereum,ethereum,github.com/go-ole/go-ole,go-ole,go-ole/go-ole,GO
14,erigontech/erigon,erigontech,github.com/anacrolix/stm,anacrolix,anacrolix/stm,GO
15,erigontech/erigon,erigontech,github.com/spf13/afero,spf13,spf13/afero,GO
16,erigontech/erigon,erigontech,github.com/tidwall/btree,tidwall,tidwall/btree,GO
17,erigontech/erigon,erigontech,github.com/ipfs/go-cid,ipfs,ipfs/go-cid,GO
18,erigontech/erigon,erigontech,github.com/jackpal/go-nat-pmp,jackpal,jackpal/go-nat-pmp,GO
19,erigontech/erigon,erigontech,github.com/prysmaticlabs/go-bitfield,prysmaticlabs,prysmaticlabs/go-bitfield,GO
20,erigontech/erigon,erigontech,github.com/deckarep/golang-set/v2,deckarep,deckarep/golang-set,GO
21,erigontech/erigon,erigontech,google.golang.org/grpc/cmd/protoc-gen-go-grpc,,,GO
22,erigontech/erigon,erigontech,github.com/anacrolix/envpprof,anacrolix,anacrolix/envpprof,GO
23,erigontech/erigon,erigontech,github.com/anacrolix/dht/v2,anacrolix,anacrolix/dht,GO
24,erigontech/erigon,erigontech,github.com/maticnetwork/crand,maticnetwork,maticnetwork/crand,GO
25,prysmaticlabs/prysm,prysmaticlabs,github.com/consensys/bavard,consensys,consensys/bavard,GO
26,prysmaticlabs/prysm,prysmaticlabs,go.opentelemetry.io/otel,,,GO
27,prysmaticlabs/prysm,prysmaticlabs,github.com/wealdtech/go-eth2-types/v2,wealdtech,wealdtech/go-eth2-types,GO
28,prysmaticlabs/prysm,prysmaticlabs,github.com/go-logr/logr,go-logr,go-logr/logr,GO
29,prysmaticlabs/prysm,prysmaticlabs,go.opentelemetry.io/otel/exporters/jaeger,,,GO
30,prysmaticlabs/prysm,prysmaticlabs,github.com/wlynxg/anet,wlynxg,wlynxg/anet,GO
31,prysmaticlabs/prysm,prysmaticlabs,github.com/herumi/bls-eth-go-binary,herumi,herumi/bls-eth-go-binary,GO
32,prysmaticlabs/prysm,prysmaticlabs,github.com/pborman/uuid,pborman,pborman/uuid,GO
33,prysmaticlabs/prysm,prysmaticlabs,github.com/multiformats/go-base32,multiformats,multiformats/go-base32,GO
34,prysmaticlabs/prysm,prysmaticlabs,github.com/multiformats/go-multiaddr,multiformats,multiformats/go-multiaddr,GO
35,prysmaticlabs/prysm,prysmaticlabs,github.com/prysmaticlabs/fastssz,prysmaticlabs,prysmaticlabs/fastssz,GO
36,prysmaticlabs/prysm,prysmaticlabs,honnef.co/go/tools,,,GO
37,prysmaticlabs/prysm,prysmaticlabs,github.com/gofrs/flock,gofrs,gofrs/flock,GO
38,prysmaticlabs/prysm,prysmaticlabs,github.com/matttproud/golang_protobuf_extensions,matttproud,matttproud/golang_protobuf_extensions,GO
39,prysmaticlabs/prysm,prysmaticlabs,github.com/karalabe/usb,karalabe,karalabe/usb,GO
40,ethereum/go-ethereum,ethereum,github.com/protolambda/ztyp,protolambda,protolambda/ztyp,GO
41,ethereum/go-ethereum,ethereum,rsc.io/tmplfunc,,,GO
42,ethereum/go-ethereum,ethereum,github.com/dop251/goja,dop251,dop251/goja,GO
