,quarter,from_project_name,grant_pool_name,to_project_name,total_funding
0,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,335.23206543369986
1,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,prettier-solidity,91.39271637870547
2,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,6.043315315
3,2019-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,19953.48948264324
4,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,3732.1123703098565
5,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,13494.810043989928
6,2022-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,6453.958331910766
7,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,279.15761310499994
8,2021-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,2361.771027082617
9,2021-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,53388.21430464226
10,2021-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,1718.5177547056155
11,2021-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,5992.393995593103
12,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,wighawag,125.85042805913628
13,2019-07-01 00:00:00+00:00,gitcoin,GG-03,prysmaticlabs,28943.0882700281
14,2020-04-01 00:00:00+00:00,gitcoin,GG-05,vyperlang,52.896347308408714
15,2020-04-01 00:00:00+00:00,gitcoin,GG-06,prysmaticlabs,17397.071715793303
16,2020-07-01 00:00:00+00:00,gitcoin,GG-06,walletconnect,3470.3242598463594
17,2020-04-01 00:00:00+00:00,gitcoin,GG-06,walletconnect,1497.0554948869355
18,2020-07-01 00:00:00+00:00,gitcoin,GG-07,walletconnect,8053.150714716594
19,2020-10-01 00:00:00+00:00,gitcoin,GG-08,prysmaticlabs,92349.4980402424
20,2020-10-01 00:00:00+00:00,gitcoin,GG-08,wighawag,2960.3281403776664
21,2021-01-01 00:00:00+00:00,gitcoin,GG-09,ethers-io,15427.434783140568
22,2021-01-01 00:00:00+00:00,gitcoin,GG-09,prysmaticlabs,133378.4104185022
23,2021-04-01 00:00:00+00:00,gitcoin,GG-10,ethers-io,45172.26948052538
24,2021-04-01 00:00:00+00:00,gitcoin,GG-10,hardhat-nomicfoundation,18025.854912570372
25,2021-04-01 00:00:00+00:00,gitcoin,GG-10,lighthouse-sigp,48798.269835743595
26,2021-07-01 00:00:00+00:00,gitcoin,GG-10,lighthouse-sigp,3849.900165044071
27,2021-04-01 00:00:00+00:00,gitcoin,GG-10,wighawag,5421.421575093406
28,2021-07-01 00:00:00+00:00,gitcoin,GG-10,wighawag,1465.1578848071306
29,2021-07-01 00:00:00+00:00,gitcoin,GG-11,vyperlang,2761.1184797348237
30,2021-07-01 00:00:00+00:00,gitcoin,GG-11,teku-consensys,120.0506595263568
31,2021-10-01 00:00:00+00:00,gitcoin,GG-12,hardhat-nomicfoundation,70261.4851970213
32,2021-10-01 00:00:00+00:00,gitcoin,GG-12,walletconnect,39370.02409622282
33,2021-10-01 00:00:00+00:00,gitcoin,GG-12,wighawag,18810.8614225333
34,2022-01-01 00:00:00+00:00,gitcoin,GG-13,ethers-io,72072.98713103871
35,2022-04-01 00:00:00+00:00,gitcoin,GG-14,lodestar-chainsafe,2230.176710984698
36,2022-04-01 00:00:00+00:00,gitcoin,GG-14,go-ethereum,157987.4126692489
37,2022-07-01 00:00:00+00:00,gitcoin,GG-15,ethers-io,87324.36076751795
38,2022-07-01 00:00:00+00:00,gitcoin,GG-15,hardhat-nomicfoundation,3364.194412243895
39,2022-07-01 00:00:00+00:00,gitcoin,GG-15,wevm,85413.65155664865
40,2022-07-01 00:00:00+00:00,gitcoin,GG-15,go-ethereum,2865.2522034240114
41,2023-04-01 00:00:00+00:00,gitcoin,GG-17 - 0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,lodestar-chainsafe,934.1573636680841
42,2023-04-01 00:00:00+00:00,gitcoin,GG-17 - 0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,ethers-io,1650.0903877317905
43,2023-10-01 00:00:00+00:00,gitcoin,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,wevm,4713.16196074766
