,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
0,a16z,helios,unsigned-varint,paritytech,unsigned-varint,CARGO
1,a16z,helios,ring,briansmith,ring,CARGO
2,a16z,helios,tokio-macros,tokio-rs,tokio,CARGO
3,a16z,helios,@webassemblyjs/helper-wasm-bytecode,xtuc,webassemblyjs,NPM
4,a16z,helios,on-finished,jshttp,on-finished,NPM
5,a16z,helios,@ethersproject/strings,ethers-io,ethers.js,NPM
6,a16z,helios,polling,smol-rs,polling,CARGO
7,sigp,lighthouse,async-channel,smol-rs,async-channel,CARGO
8,sigp,lighthouse,futures-util,rust-lang,futures-rs,CARGO
9,sigp,lighthouse,hashlink,kyren,hashlink,CARGO
10,sigp,lighthouse,num-traits,rust-num,num-traits,CARGO
11,sigp,lighthouse,trackable,sile,trackable,CARGO
12,sigp,lighthouse,libp2p-noise,libp2p,rust-libp2p,CARGO
13,sigp,lighthouse,ciborium-io,enarx,ciborium,CARGO
14,sigp,lighthouse,archery,orium,archery,CARGO
15,sigp,lighthouse,data-encoding,ia0,data-encoding,CARGO
16,sigp,lighthouse,async-trait,dtolnay,async-trait,CARGO
17,wevm,viem,mdast-util-gfm-autolink-literal,syntax-tree,mdast-util-gfm-autolink-literal,NPM
18,wevm,viem,regex,slevithan,regex,NPM
19,wevm,viem,tailwindcss,tailwindlabs,tailwindcss,NPM
20,wevm,viem,longest-streak,wooorm,longest-streak,NPM
21,wevm,viem,oniguruma-to-js,antfu,oniguruma-to-js,NPM
22,wevm,viem,safe-stable-stringify,bridgear,safe-stable-stringify,NPM
23,wevm,viem,@changesets/changelog-github,changesets,changesets,NPM
24,wevm,viem,caniuse-lite,browserslist,caniuse-lite,NPM
25,a16z,helios,bls12_381,zkcrypto,bls12_381,CARGO
26,a16z,helios,bytes,visionmedia,bytes.js,NPM
27,a16z,helios,unicode-xid,unicode-rs,unicode-xid,CARGO
28,a16z,helios,ark-ff,arkworks-rs,algebra,CARGO
29,a16z,helios,regex,rust-lang,regex,CARGO
30,a16z,helios,get-intrinsic,ljharb,get-intrinsic,NPM
31,a16z,helios,@webassemblyjs/ieee754,xtuc,webassemblyjs,NPM
32,a16z,helios,@jridgewell/gen-mapping,jridgewell,gen-mapping,NPM
33,a16z,helios,core-graphics-types,servo,core-foundation-rs,CARGO
34,a16z,helios,colorchoice,rust-cli,anstyle,CARGO
35,sigp,lighthouse,fastrlp,vorot93,fastrlp,CARGO
36,sigp,lighthouse,tiny-bip39,maciejhirsz,tiny-bip39,CARGO
37,sigp,lighthouse,prometheus-client-derive-encode,prometheus,client_rust,CARGO
38,sigp,lighthouse,icu_normalizer,unicode-org,icu4x,CARGO
