seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
ethereum,solidity,sphinx-a4doc,taminomara,sphinx-a4doc,PIP
vyperlang,vyper,wheel,pypa,wheel,PIP
vyperlang,vyper,packaging,pypa,packaging,PIP
ethereum,solidity,sphinx,sphinx-doc,sphinx,PIP
ethereum,py-evm,eth-hash,ethereum,eth-hash,PIP
ethereum,solidity,sphinx-rtd-theme,readthedocs,sphinx_rtd_theme,PIP
ethereum,web3.py,eth-typing,ethereum,eth-typing,PIP
ethereum,web3.py,websockets,aaugustin,websockets,PIP
ethereum,web3.py,aiohttp,aio-libs,aiohttp,PIP
ethereum,py-evm,pytest-xdist,pytest-dev,pytest-xdist,PIP
ethereum,web3.py,eth-utils,ethereum,eth-utils,PIP
ethereum,py-evm,pytest,pytest-dev,pytest,PIP
ethereum,web3.py,pyunormalize,mlodewijck,pyunormalize,PIP
vyperlang,vyper,asttokens,gristlabs,asttokens,PIP
ethereum,web3.py,eth-abi,ethereum,eth-abi,PIP
ethereum,web3.py,eth-hash,ethereum,eth-hash,PIP
ethereum,web3.py,typing-extensions,python,typing_extensions,PIP
ethereum,py-evm,pytest-cov,pytest-dev,pytest-cov,PIP
vyperlang,vyper,shibuya,lepture,shibuya,PIP
ethereum,web3.py,hexbytes,ethereum,hexbytes,PIP
ethereum,web3.py,types-requests,python,typeshed,PIP
vyperlang,vyper,cbor2,agronholm,cbor2,PIP
ethereum,web3.py,requests,psf,requests,PIP
vyperlang,vyper,pycryptodome,legrandin,pycryptodome,PIP
ethereum,py-evm,flake8,pycqa,flake8,PIP
vyperlang,vyper,importlib-metadata,python,importlib_metadata,PIP
ethereum,py-evm,hypothesis,hypothesisworks,hypothesis,PIP
ethereum,web3.py,eth-account,ethereum,eth-account,PIP
ethereum,web3.py,pydantic,pydantic,pydantic,PIP
vyperlang,vyper,sphinx-copybutton,executablebooks,sphinx-copybutton,PIP
vyperlang,vyper,sphinx,sphinx-doc,sphinx,PIP
ethereum,py-evm,ipython,ipython,ipython,PIP
ethereum,py-evm,pytest-asyncio,pytest-dev,pytest-asyncio,PIP
ethereum,py-evm,tox,tox-dev,tox,PIP
ethereum,py-evm,mypy,python,mypy,PIP
ethereum,py-evm,bumpversion,peritus,bumpversion,PIP
paradigmxyz,reth,web-sys,rustwasm,wasm-bindgen,RUST
paradigmxyz,reth,hermit-abi,hermit-os,hermit-rs,RUST
paradigmxyz,reth,quick-xml,tafia,quick-xml,RUST
paradigmxyz,reth,ring,briansmith,ring,RUST
paradigmxyz,reth,boyer-moore-magiclen,magiclen,boyer-moore-magiclen,RUST
paradigmxyz,reth,schnellru,koute,schnellru,RUST
paradigmxyz,reth,rlp,paritytech,parity-common,RUST
paradigmxyz,reth,boa_gc,boa-dev,boa,RUST
paradigmxyz,reth,unicode-xid,unicode-rs,unicode-xid,RUST
paradigmxyz,reth,icu_properties_data,unicode-org,icu4x,RUST
paradigmxyz,reth,alloy-provider,alloy-rs,alloy,RUST
paradigmxyz,reth,cast,japaric,cast.rs,RUST
paradigmxyz,reth,alloy-sol-type-parser,alloy-rs,core,RUST
paradigmxyz,reth,bstr,burntsushi,bstr,RUST
paradigmxyz,reth,darling_core,teddriggs,darling,RUST
paradigmxyz,reth,coins-core,summa-tx,coins,RUST
paradigmxyz,reth,chrono,chronotope,chrono,RUST
paradigmxyz,reth,aes,rustcrypto,block-ciphers,RUST
paradigmxyz,reth,roaring,roaringbitmap,roaring-rs,RUST
paradigmxyz,reth,time,time-rs,time,RUST
paradigmxyz,reth,send_wrapper,thk1,send_wrapper,RUST
paradigmxyz,reth,cassowary,dylanede,cassowary-rs,RUST
paradigmxyz,reth,log,rust-lang,log,RUST
paradigmxyz,reth,mime,hyperium,mime,RUST
paradigmxyz,reth,wait-timeout,alexcrichton,wait-timeout,RUST
paradigmxyz,reth,str_stack,stebalien,str_stack,RUST
paradigmxyz,reth,synstructure,mystor,synstructure,RUST
paradigmxyz,reth,tinytemplate,bheisler,tinytemplate,RUST
paradigmxyz,reth,boa_profiler,boa-dev,boa,RUST
paradigmxyz,reth,ecdsa,rustcrypto,signatures,RUST
paradigmxyz,reth,libsecp256k1-core,paritytech,libsecp256k1,RUST
paradigmxyz,reth,vergen,rustyhorde,vergen,RUST
paradigmxyz,reth,walkdir,burntsushi,walkdir,RUST
paradigmxyz,reth,coins-bip39,summa-tx,coins,RUST
paradigmxyz,reth,rand_core,rust-random,rand,RUST
paradigmxyz,reth,ratatui,ratatui,ratatui,RUST
paradigmxyz,reth,phf,rust-phf,rust-phf,RUST
paradigmxyz,reth,tokio-macros,tokio-rs,tokio,RUST
paradigmxyz,reth,primeorder,rustcrypto,elliptic-curves,RUST
paradigmxyz,reth,sharded-slab,hawkw,sharded-slab,RUST
paradigmxyz,reth,yoke,unicode-org,icu4x,RUST
paradigmxyz,reth,cfg_aliases,katharostech,cfg_aliases,RUST
paradigmxyz,reth,tokio-util,tokio-rs,tokio,RUST
paradigmxyz,reth,writeable,unicode-org,icu4x,RUST
